Kanton	Kt	Total_2017	Schweizer	Auslander	Stadtisch_pc	Area	Siedlungsflache_pc	BIP_capita_2014	Beschaftigte_1000_2014	Arbeitsstatten_2014	Sozialhilfequote_pc	Straftaten_pm_StGB
Aargau	AG	665096	499980	165116	82.8442268712	1403.95	16.9899212935	61959.29325	333.142	45066	2.2	41.6503300133
Appenzell Innerrhoden	AI	15983	14230	1753	0	172.39	4.716050815	61066.96617	8.795	1877	0.8	19.4903494386
Appenzell Ausserrhoden	AR	54983	46058	8925	75.4762297637	242.92	9.1840935287	56663.34619	26.325	5145	2	36.2533293874
Bern/Berne	BE	1027798	862215	165583	73.1464800886	5959.4	6.9129442561	76307.02387	624.614	79167	4.2	55.413119243
Basel-Landschaft	BL	285581	221648	63933	95.8998132267	517.74	17.4315293391	68537.2337	147.262	19383	2.8	45.4744206384
Basel-Stadt	BS	193482	124067	69415	98.7060583786	36.98	71.0654407788	163632.43847	191.441	17290	5.9	109.9853080071
Fribourg	FR	312498	242387	70111	71.6936456982	1671.37	8.374566972	58369.34007	147.804	21335	2.5	51.3849105239
Genève	GE	490268	293317	196951	96.8430238315	282.32	33.3557665061	102112.94446	339.95	38662	5.5	123.1710254826
Glarus	GL	40166	30648	9518	74.3404616768	685.43	2.9105816787	67378.92027	21.778	3303	1.9	30.6327587073
Graubünden/Grigioni	GR	197399	160800	36599	43.8736585118	7105	1.9511611541	70967.57584	128.322	20787	1.3	36.174101263
Jura	JU	73110	62441	10669	52.2148333379	838.61	6.695603439	64606.10026	42.346	6406	2.8	49.82737191
Luzern	LU	404079	329789	74290	62.7146016922	1493.28	9.6338262081	65119.48638	243.085	31281	2.2	52.0091027967
Neuchâtel	NE	178344	132761	45583	88.8078514601	802.26	8.3526537531	83834.80883	105.639	13312	7.2	87.9505095107
Nidwalden	NW	42488	36406	6082	50.1296558227	275.94	5.370732768	69559.05378	23.469	4077	0.9	25.4990494297
Obwalden	OW	37382	31905	5477	27.1981875067	490.64	3.8296918311	64252.80979	21.697	3694	1	38.2255524787
St. Gallen	SG	503200	383088	120112	81.3218719005	2030.73	9.5571543238	72624.13073	294.268	38294	2.2	37.4608732131
Schaffhausen	SH	80930	59981	20949	88.6116538905	298.43	11.4030090809	85528.57721	45.628	6553	2.6	45.7584648123
Solothurn	SO	269656	210191	59465	84.6008903302	790.37	13.856801245	65587.93219	138.669	18313	3.5	60.7388925333
Schwyz	SZ	155721	123385	32336	80.3391458405	908.03	6.0603724547	58788.11775	79.281	14943	1.4	26.983680176
Thurgau	TG	271188	204485	66703	65.4801835253	991.51	12.2742080261	60533.09846	132.23	20490	1.8	41.3789703981
Ticino	TI	354392	254804	99588	90.4965534485	2812.25	5.6470797404	82438.45822	225.748	37523	2.6	47.9645396346
Uri	UR	36109	31836	4273	87.8603396992	1076.3	1.855430642	51331.87514	18.143	2804	1.1	17.7738280382
Vaud	VD	787070	523697	263373	86.9112899159	3212.21	9.3209970706	68084.26271	431.281	58347	4.8	76.6213231142
Valais/Wallis	VS	339258	260265	78993	73.0136790429	5224.77	3.5337440691	52532.31818	171.865	28652	1.8	41.300566971
Zug	ZG	123635	89475	34160	96.7118083417	238.71	13.849440744	150612.94819	107.592	17555	1.7	44.7667979582
Zürich	ZH	1491886	1094050	397836	96.5494972805	1728.85	21.8601960841	96410.65099	993.997	116299	3.2	63.9317898661
